"","id_plaza","n_plazas","districto","latitud","longitud"
"1635",224195,1,"LA SAIDIA",39.4855056734111,-0.376164020493998
"1636",224196,1,"BENIMACLET",39.4790744446338,-0.355035327416631
"1637",224199,1,"POBLATS MARITIMS",39.4687484523762,-0.328709729872833
"1638",224201,1,"POBLATS MARITIMS",39.466898196159,-0.328862687266754
"1639",224204,1,"POBLATS MARITIMS",39.4485769178412,-0.33041840783109
"1640",224213,1,"POBLATS MARITIMS",39.4658376353249,-0.328493182635735
"1641",224215,1,"L'OLIVERETA",39.4716868846524,-0.410004230722223
"1642",224218,1,"PATRAIX",39.4620572477411,-0.399495772992639
"1643",224221,1,"EL PLA DEL REAL",39.478004382775,-0.356061737278555
"1644",224228,1,"QUATRE CARRERES",39.4546253954951,-0.380611008091027
"1645",224229,1,"RASCANYA",39.4963374959099,-0.374583519844556
"1646",224232,4,"POBLATS MARITIMS",39.4715563866616,-0.324715872061672
"1647",224234,2,"CIUTAT VELLA",39.4699118689829,-0.378511704728457
"1648",224235,1,"CIUTAT VELLA",39.470779092925,-0.377861662006609
"1649",224237,1,"POBLATS DE L'OEST",39.5061588629001,-0.422480897445264
"1650",224238,1,"LA SAIDIA",39.4899102965813,-0.382196655338584
"1651",224249,1,"LA SAIDIA",39.4896618851394,-0.377679456757542
"1652",224250,1,"POBLATS DE L'OEST",39.5021208439782,-0.417917324970883
"1653",224252,2,"CAMINS AL GRAU",39.4681434099149,-0.35123586872159
"1654",224254,1,"CAMINS AL GRAU",39.4589157319538,-0.347302512346807
"1655",224256,1,"PATRAIX",39.4670810929896,-0.391257779060325
"1656",224258,1,"EL PLA DEL REAL",39.477204614825,-0.360182914634149
"1657",224261,2,"ALGIROS",39.4707535916241,-0.340241815011768
"1658",224268,2,"CIUTAT VELLA",39.4723880324322,-0.379483337743742
"1659",224269,1,"QUATRE CARRERES",39.4543000358931,-0.373537955715897
"1660",224270,1,"ALGIROS",39.478152484259,-0.350943080852496
"1661",224274,1,"POBLATS MARITIMS",39.4624862138182,-0.330785167900968
"1662",224275,1,"L'OLIVERETA",39.4690936896803,-0.414072398515716
"1663",224276,1,"L'OLIVERETA",39.4687508535319,-0.412009011462521
"1664",224279,1,"EL PLA DEL REAL",39.4724151374763,-0.358689766046536
"1665",224281,1,"CAMINS AL GRAU",39.4691358202284,-0.347134246753876
"1666",224287,1,"POBLATS MARITIMS",39.4706194131946,-0.337287394843492
"1667",224292,1,"QUATRE CARRERES",39.4542194447135,-0.363444548632955
"1668",224295,1,"EXTRAMURS",39.4701975830385,-0.383586527802427
"1669",224300,2,"BENICALAP",39.4931658672835,-0.394162983373717
"1670",224302,1,"QUATRE CARRERES",39.4474976930113,-0.373814586697639
"1671",224303,1,"PATRAIX",39.4615884330738,-0.390471394694934
"1672",224306,1,"LA SAIDIA",39.488172889408,-0.388968117814257
"1673",224309,1,"RASCANYA",39.4933898271572,-0.376709411884611
"1674",224310,1,"BENIMACLET",39.4909627844595,-0.358662837367439
"1675",224312,1,"BENICALAP",39.4944063814657,-0.391884892955808
"1676",224316,1,"QUATRE CARRERES",39.4530801022169,-0.367327714432447
"1677",224320,1,"LA SAIDIA",39.4909861471113,-0.375184145722338
"1678",224327,1,"POBLATS MARITIMS",39.4516933095948,-0.334853674953448
"1679",224330,1,"PATRAIX",39.4638159677586,-0.397305549972132
"1680",224333,1,"ALGIROS",39.4743833963589,-0.336817857879006
"1681",224335,1,"BENIMACLET",39.4809678859564,-0.354827906742229
"1682",224341,1,"L'EIXAMPLE",39.4657141988982,-0.362442280291342
"1683",224344,1,"POBLATS DEL SUD",39.2991172290194,-0.288975939069581
"1684",224347,1,"BENIMACLET",39.491472518503,-0.358329225074562
"1685",224349,1,"RASCANYA",39.4933716439615,-0.371175450606049
"1686",224351,1,"RASCANYA",39.4926977371835,-0.370333543552807
"1687",224353,1,"JESUS",39.4516237025179,-0.391828917453355
"1688",224354,1,"JESUS",39.451704032781,-0.39177746129209
"1689",224359,1,"L'OLIVERETA",39.4691343176031,-0.394730187574665
