"","station","wday","hour","mean.day"
"28346","169","6",1,9.23906048906049
"28347","169","6",2,9.16441441441441
"28348","169","6",3,9.42293233082707
"28349","169","6",4,9.51080827067669
"28350","169","6",5,9.33099415204678
"28351","169","6",6,9.3055352055352
"28352","169","6",7,9.10817651847064
"28353","169","6",8,9.970930849777
"28354","169","6",9,10.3388062960431
"28355","169","6",10,10.3885734635735
"28356","169","6",11,11.2398962148962
"28357","169","6",12,12.0833758833759
"28358","169","6",13,13.1717993544917
"28359","169","6",14,14.0701658028581
"28360","169","6",15,14.1156601024248
"28361","169","6",16,13.2329572848804
"28362","169","6",17,11.4746327746328
"28363","169","6",18,10.1244805389542
"28364","169","6",19,9.1798322048322
"28365","169","6",20,8.88588726088726
"28366","169","6",21,8.87950290450291
"28367","169","6",22,8.86705957859804
"28368","169","6",23,8.64362026862026
"28369","169","7",0,8.77539682539683
"28370","169","7",1,8.88605006105006
"28371","169","7",2,8.92002442002442
"28372","169","7",3,9.03429383116883
"28373","169","7",4,9.1875
"28374","169","7",5,9.31428571428571
"28375","169","7",6,9.46428571428571
"28376","169","7",7,9.77369047619048
"28377","169","7",8,10.3955853174603
"28378","169","7",9,11.196755952381
"28379","169","7",10,11.6400498153807
"28380","169","7",11,12.1108596264846
"28381","169","7",12,13.0842312219944
"28382","169","7",13,13.6942307692308
"28383","169","7",14,14.5348892664353
"28384","169","7",15,15.022796726066
"28385","169","7",16,14.1419765419765
"28386","169","7",17,11.8121253545167
"28387","169","7",18,9.83634056002477
"28388","169","7",19,8.60520405520406
"28389","169","7",20,8.46557794057794
"28390","169","7",21,8.18742368742369
"28391","169","7",22,7.73763736263736
"28392","169","7",23,7.31449938949939
"28393","170","1",0,11.1106532356532
"28394","170","1",1,11.0932738095238
"28395","170","1",2,11.1677083333333
"28396","170","1",3,11.3760714285714
"28397","170","1",4,11.5366071428571
"28398","170","1",5,11.485347985348
"28399","170","1",6,11.6622023809524
"28400","170","1",7,11.553083028083
"28401","170","1",8,12.0807142857143
"28402","170","1",9,12.754348984349
"28403","170","1",10,13.1946666691152
"28404","170","1",11,13.7926097304044
"28405","170","1",12,14.6660662374691
"28406","170","1",13,15.0138796191554
"28407","170","1",14,14.8426464507715
"28408","170","1",15,14.466508526196
"28409","170","1",16,13.4650193060294
"28410","170","1",17,11.3373073153627
"28411","170","1",18,9.40969666957439
"28412","170","1",19,8.82020743145743
"28413","170","1",20,8.56373466810967
"28414","170","1",21,8.36180555555556
"28415","170","1",22,8.50297619047619
"28416","170","1",23,8.51815476190476
"28417","170","2",0,8.58402777777778
"28418","170","2",1,8.66071428571429
"28419","170","2",2,8.6875
"28420","170","2",3,8.7
"28421","170","2",4,8.72589285714286
"28422","170","2",5,8.60922619047619
"28423","170","2",6,8.29781746031746
"28424","170","2",7,8.21516865079365
"28425","170","2",8,8.79124098124098
"28426","170","2",9,8.70402035464535
"28427","170","2",10,8.8360515077243
"28428","170","2",11,9.05807423570582
"28429","170","2",12,9.41740169552669
"28430","170","2",13,9.71582125526978
"28431","170","2",14,9.90858044733045
"28432","170","2",15,9.74437881562882
"28433","170","2",16,9.15452871102327
"28434","170","2",17,9.01730111675764
"28435","170","2",18,9.19276371776372
"28436","170","2",19,9.44083888364825
"28437","170","2",20,10.1931577681578
"28438","170","2",21,10.2098171152519
"28439","170","2",22,10.5955128205128
"28440","170","2",23,10.6117354867355
"28441","170","3",0,10.7599252599253
"28442","170","3",1,10.8619658119658
"28443","170","3",2,10.9664224664225
"28444","170","3",3,11.0677655677656
"28445","170","3",4,11.117673992674
"28446","170","3",5,11.2910714285714
"28447","170","3",6,10.7046450580418
"28448","170","3",7,10.2791647935398
"28449","170","3",8,11.2126207126207
"28450","170","3",9,11.2870409451659
"28451","170","3",10,10.8428771922522
"28452","170","3",11,10.7098870573871
"28453","170","3",12,10.7301984126984
"28454","170","3",13,11.2851816239316
"28455","170","3",14,11.6931074134199
"28456","170","3",15,12.3600655594406
"28457","170","3",16,12.356722101428
"28458","170","3",17,11.1539321095571
"28459","170","3",18,10.9711948076079
"28460","170","3",19,11.6402877294489
"28461","170","3",20,12.0457142857143
"28462","170","3",21,11.690376984127
"28463","170","3",22,11.9472023809524
"28464","170","3",23,11.8776488095238
"28465","170","4",0,11.7201488095238
"28466","170","4",1,11.8547619047619
"28467","170","4",2,11.878125
"28468","170","4",3,11.875
"28469","170","4",4,11.8715503246753
"28470","170","4",5,11.7171130952381
"28471","170","4",6,11.265350140056
"28472","170","4",7,11.2176639822596
"28473","170","4",8,11.4356448412698
"28474","170","4",9,11.8237734487734
"28475","170","4",10,11.0530625624376
"28476","170","4",11,10.9226085026085
"28477","170","4",12,10.8436075729826
"28478","170","4",13,10.8247068903319
"28479","170","4",14,11.1766725023343
"28480","170","4",15,11.2826125482704
"28481","170","4",16,11.0689086567028
"28482","170","4",17,11.082414044289
"28483","170","4",18,11.3466750610501
"28484","170","4",19,11.3849078699079
"28485","170","4",20,11.5008432539683
"28486","170","4",21,10.972591991342
"28487","170","4",22,11.0779166666667
"28488","170","4",23,11.116369047619
"28489","170","5",0,11.1065476190476
"28490","170","5",1,11.1924107142857
"28491","170","5",2,11.2285714285714
"28492","170","5",3,11.3509157509158
"28493","170","5",4,11.3867216117216
"28494","170","5",5,11.0659317534318
"28495","170","5",6,10.9365588115588
"28496","170","5",7,11.1009564509565
"28497","170","5",8,11.8296029338033
"28498","170","5",9,12.1006349644508
"28499","170","5",10,11.7908573882258
"28500","170","5",11,11.8054889340106
"28501","170","5",12,12.4833313616208
"28502","170","5",13,12.6874534821903
"28503","170","5",14,13.1571741768723
"28504","170","5",15,12.6961124401914
"28505","170","5",16,12.3116257839168
